EU to EU Imports	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
Austria	55.01	62.83	67.11	66.87	71.98	79.76	82.37	87.05	94.35	97.76
Belgium	111.79	136.15	143.57	152.82	152.81	167.22	184.69	200.12	211.90	221.59
Bulgaria	2.82	3.75	4.64	4.85	5.55	6.62	7.82	9.43	12.78	14.23
Cyprus	1.65	1.99	2.21	2.24	2.16	3.07	3.51	3.79	4.33	4.91
Czech Republic	20.44	26.02	30.23	31.19	32.66	45.16	50.07	59.74	69.07	74.26
Denmark	31.57	35.61	36.79	39.78	37.24	38.82	43.14	49.19	52.09	53.71
Estonia	2.36	3.26	3.18	3.50	3.71	4.94	6.28	7.97	8.99	8.69
Finland	20.85	24.96	25.28	25.29	25.67	27.85	31.51	35.34	38.19	38.71
France	203.37	246.95	247.80	238.89	247.64	263.61	273.68	298.64	311.10	323.15
Germany	293.71	340.14	350.50	340.57	353.33	377.75	402.69	460.13	497.28	512.77
Greece	20.05	23.53	23.72	18.59	23.07	25.52	25.48	29.01	32.18	32.98
Hungary	18.85	23.03	24.74	25.94	27.26	33.34	37.39	43.77	48.45	50.52
Ireland	27.57	35.01	37.77	37.14	29.89	32.72	36.75	39.88	42.80	39.90
Italy	136.01	157.70	163.28	164.16	166.51	177.58	183.85	202.86	215.45	203.98
Latvia	2.10	2.58	2.98	3.32	3.50	4.32	5.26	7.03	8.66	8.28
Lithuania	2.62	3.11	3.70	4.52	4.78	6.32	7.43	9.68	12.17	12.17
Luxembourg	8.67	10.24	11.21	11.14	11.07	12.24	12.82	14.92	14.77	16.02
Malta	1.76	2.24	1.83	1.91	1.94	2.14	2.27	2.43	2.56	2.28
Netherlands	110.81	125.94	125.50	127.96	128.43	136.63	144.58	165.25	180.16	190.03
Poland	31.08	36.60	39.04	40.76	42.01	54.32	61.54	73.83	88.61	102.01
Portugal	29.59	33.06	33.83	33.91	33.16	34.07	37.65	40.16	43.02	44.99
Romania	6.74	9.29	11.66	12.88	14.45	17.33	20.51	25.81	36.58	38.93
Slovakia	7.91	9.70	11.87	12.80	14.83	18.93	21.67	26.92	33.02	36.36
Slovenia	7.34	8.45	8.77	8.97	9.36	11.71	12.98	14.95	16.98	17.94
Spain	88.82	114.51	118.59	120.74	127.85	141.10	148.95	161.72	179.00	169.60
Sweden	45.85	53.96	49.38	50.33	53.10	58.28	63.19	70.77	78.96	78.31
United Kingdom	167.03	195.33	205.74	220.55	200.18	212.02	232.60	276.39	248.83	229.27
