World to EU Imports	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
Austria	11.91	15.55	16.22	15.93	16.01	16.64	19.97	22.23	24.61	27.54
Belgium	42.84	56.04	55.92	56.90	54.89	62.40	71.48	79.94	88.39	95.46
Bulgaria	2.32	3.34	3.49	3.56	4.06	5.00	4.68	5.99	9.08	10.87
Cyprus	1.15	1.40	1.54	1.66	1.42	1.36	1.57	1.73	1.96	2.32
Czech Republic	6.27	8.60	10.30	11.81	13.07	11.09	11.43	14.48	17.15	22.31
Denmark	11.36	13.72	13.82	13.43	13.52	15.97	17.62	18.91	19.44	21.07
Estonia	0.86	1.36	1.61	1.58	2.00	1.76	1.95	2.74	2.45	2.20
Finland	9.28	12.33	11.16	10.89	11.91	13.50	15.73	19.91	21.43	23.69
France	92.89	120.03	119.11	109.32	104.94	115.00	131.53	132.96	140.90	155.15
Germany	151.07	198.18	192.29	177.92	181.16	197.65	221.92	261.98	272.50	292.96
Greece	8.59	12.72	13.15	14.79	16.58	16.90	18.27	21.65	23.46	27.34
Hungary	7.43	11.81	12.79	13.99	15.01	15.32	16.11	18.56	21.28	23.55
Ireland	16.31	20.26	18.68	18.27	17.74	16.97	18.36	18.36	18.36	17.19
Italy	71.00	100.81	100.48	97.06	96.51	108.06	125.45	149.61	157.89	173.31
Latvia	0.67	0.89	0.94	0.96	1.13	1.39	1.73	2.16	2.52	2.69
Lithuania	1.73	2.57	3.07	3.44	3.75	3.64	5.06	5.75	5.64	8.98
Luxembourg	1.85	1.97	2.56	2.24	3.22	3.87	4.78	6.24	5.32	5.46
Malta	0.90	1.45	1.00	0.89	0.91	0.78	0.72	1.01	0.91	0.84
Netherlands	82.62	110.38	107.46	103.91	105.57	120.36	147.86	166.73	179.29	204.95
Poland	11.97	16.48	16.99	17.72	18.34	17.79	20.16	27.31	32.30	39.96
Portugal	7.91	10.19	10.26	8.55	8.57	10.10	11.53	12.95	14.04	16.19
Romania	3.03	4.94	5.72	6.01	6.75	8.95	12.06	14.93	14.73	17.32
Slovakia	2.71	4.12	4.61	4.72	5.10	5.08	6.18	8.90	11.21	13.54
Slovenia	2.14	2.54	2.58	2.60	2.87	2.56	3.37	4.28	6.05	7.24
Spain	38.17	54.55	54.09	53.87	56.56	66.58	83.18	100.07	105.05	116.51
Sweden	18.49	24.95	21.18	20.47	20.75	22.47	26.59	30.81	32.37	35.33
United Kingdom	137.81	181.52	178.12	164.47	152.90	166.33	180.29	202.60	205.67	201.09
